"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.944546500E-2,2.110500038E-1,1.017000079E0,1.125105095E1,1.129889281E1
2.164631100E-2,1.156949997E0,1.062000036E0,1.003395081E1,1.015610881E1
2.437623400E-2,1.126049995E0,1.146000028E0,9.421050072E0,9.557064879E0
2.684169600E-2,6.870000362E-1,1.101000071E0,9.868950844E0,9.953911842E0
2.930700300E-2,9.840000272E-1,1.137000084E0,9.535950661E0,9.653775440E0
3.177222400E-2,9.120000601E-1,1.170000076E0,9.943050385E0,1.005310376E1
3.423768600E-2,9.529500604E-1,1.102950096E0,1.008195019E1,1.018677242E1
3.670299300E-2,9.720000625E-1,1.102950096E0,1.006305027E1,1.016987039E1
3.916853200E-2,9.409500360E-1,1.090950012E0,1.005600071E1,1.015867655E1
4.163407000E-2,9.679500461E-1,1.077000022E0,9.988950729E0,1.009336381E1
4.409956100E-2,8.910000324E-1,1.050000072E0,9.874050140E0,9.969616210E0
4.656509900E-2,9.240000248E-1,1.090950012E0,9.939000130E0,1.004129830E1
4.903009900E-2,9.199500680E-1,1.102950096E0,9.988950729E0,1.009167695E1
5.149556100E-2,8.770500422E-1,1.137000084E0,9.706050873E0,9.811697586E0
5.396086900E-2,9.120000601E-1,1.089000106E0,9.781050682E0,9.883654071E0
5.642608900E-2,8.890500665E-1,1.086000085E0,9.964950562E0,1.006330194E1
5.889155100E-2,8.239500523E-1,1.090950012E0,9.975000381E0,1.006825199E1
6.135678200E-2,8.140500188E-1,1.096050024E0,9.782999992E0,9.877808053E0
6.382208900E-2,9.079500437E-1,1.114950061E0,9.757050514E0,9.862429805E0
6.628755100E-2,9.240000248E-1,1.113000035E0,9.898050308E0,1.000319674E1
6.875276200E-2,9.390000701E-1,1.062000036E0,9.985950470E0,1.008606821E1
7.121806900E-2,9.169500470E-1,1.089000106E0,9.951000214E0,1.005231933E1
7.368353100E-2,9.390000701E-1,1.110000014E0,9.985950470E0,1.009123520E1
7.614876200E-2,8.959500194E-1,1.101000071E0,9.988950729E0,1.008930445E1
